"year","letra","letra_desc","mean_sector"
2014,"I","Serv. De Alojamiento Y Serv. De Comida",6567.84306498545
2014,"P","Enseñanza",7369.28151487827
2014,"N","Act. Administrativas Y Serv. De Apoyo",7677.00588581519
2014,"L","Serv. Inmobiliarios",7952.0436040903
2014,"S","Serv. De Asoc. Y Serv. Personales",8079.38090848139
2014,"R","Serv. Art., Cult., Dep.  Y Esparcimiento",8186.08486982303
2014,"F","Construcción",8725.93900452489
2014,"G","Comercio P/Mayor Y P/Menor, Rep. De Vehiculos",9186.61639105942
2014,"Q","Salud Humana Y Serv. Soc.",9199.4075479438
2014,"A","Agricultura, Ganadería, Caza, Silvicultura Y Pesca",9235.06276844982
2014,"M","Serv. Profesionales, Científicos Y Técnicos",9529.98892284186
2014,"O","Adm. Publica, Defensa Y S. S. Obligatoria",10579.3310127631
2014,"C","Industria Manufacturera",12314.9059946459
2014,"J","Información Y Comunicaciones",13538.4693253271
2014,"E","Suministro Agua, G. De Residuos Y Saneamiento",14574.7269954245
2014,"H","Serv. De Transporte Y Almacenamiento",16194.2056489651
2014,"K","Int. Financiera Y Serv. De Seguros",17077.9588904257
2014,"D","Suministro De Elect., Gas, Vapor, A. A.",22985.8498223303
2014,"B","Explotacion De Minas Y Canteras",29504.9571455189
2015,"I","Serv. De Alojamiento Y Serv. De Comida",8704.72238892653
2015,"P","Enseñanza",9897.84389018482
2015,"N","Act. Administrativas Y Serv. De Apoyo",10050.0878565607
2015,"L","Serv. Inmobiliarios",10337.4160046503
2015,"S","Serv. De Asoc. Y Serv. Personales",10602.3926489227
2015,"R","Serv. Art., Cult., Dep.  Y Esparcimiento",10622.435954023
2015,"F","Construcción",11219.6195894287
2015,"G","Comercio P/Mayor Y P/Menor, Rep. De Vehiculos",11837.1220565866
2015,"A","Agricultura, Ganadería, Caza, Silvicultura Y Pesca",11894.8776470588
2015,"Q","Salud Humana Y Serv. Soc.",12023.4118478151
2015,"M","Serv. Profesionales, Científicos Y Técnicos",12455.9434593085
2015,"O","Adm. Publica, Defensa Y S. S. Obligatoria",14156.6656156654
2015,"C","Industria Manufacturera",16117.6939955272
2015,"J","Información Y Comunicaciones",17806.7740824393
2015,"E","Suministro Agua, G. De Residuos Y Saneamiento",19359.3013440523
2015,"H","Serv. De Transporte Y Almacenamiento",21048.2634127337
2015,"K","Int. Financiera Y Serv. De Seguros",22746.0727217172
2015,"D","Suministro De Elect., Gas, Vapor, A. A.",30848.3586936352
2015,"B","Explotacion De Minas Y Canteras",39822.5573137075
2016,"I","Serv. De Alojamiento Y Serv. De Comida",11234.2692045565
2016,"L","Serv. Inmobiliarios",13109.784956795
2016,"P","Enseñanza",13205.6039957189
2016,"N","Act. Administrativas Y Serv. De Apoyo",13279.9237266335
2016,"R","Serv. Art., Cult., Dep.  Y Esparcimiento",14135.1037632444
2016,"S","Serv. De Asoc. Y Serv. Personales",14215.5973636908
2016,"F","Construcción",14524.4445119728
2016,"G","Comercio P/Mayor Y P/Menor, Rep. De Vehiculos",15760.6115506329
2016,"Q","Salud Humana Y Serv. Soc.",16154.8343930062
2016,"M","Serv. Profesionales, Científicos Y Técnicos",16454.1638341264
2016,"A","Agricultura, Ganadería, Caza, Silvicultura Y Pesca",17205.1925786288
2016,"O","Adm. Publica, Defensa Y S. S. Obligatoria",19014.4516932271
2016,"C","Industria Manufacturera",21354.9521146053
2016,"J","Información Y Comunicaciones",23781.8369484347
2016,"E","Suministro Agua, G. De Residuos Y Saneamiento",26030.8699748744
2016,"H","Serv. De Transporte Y Almacenamiento",28068.3198051948
2016,"K","Int. Financiera Y Serv. De Seguros",30784.1529420743
2016,"D","Suministro De Elect., Gas, Vapor, A. A.",41356.1788965261
2016,"B","Explotacion De Minas Y Canteras",50992.7631852062
2017,"I","Serv. De Alojamiento Y Serv. De Comida",14321.2617489008
2017,"L","Serv. Inmobiliarios",16685.6901155839
2017,"P","Enseñanza",16855.1977451682
2017,"N","Act. Administrativas Y Serv. De Apoyo",17297.7973458904
2017,"R","Serv. Art., Cult., Dep.  Y Esparcimiento",18057.031221388
2017,"S","Serv. De Asoc. Y Serv. Personales",18747.3111072873
2017,"F","Construcción",18880.6065189987
2017,"G","Comercio P/Mayor Y P/Menor, Rep. De Vehiculos",20589.4235172957
2017,"Q","Salud Humana Y Serv. Soc.",20989.9459137005
2017,"M","Serv. Profesionales, Científicos Y Técnicos",21349.3216428632
2017,"A","Agricultura, Ganadería, Caza, Silvicultura Y Pesca",21927.289468385
2017,"O","Adm. Publica, Defensa Y S. S. Obligatoria",24223.7923306773
2017,"C","Industria Manufacturera",27738.4442402316
2017,"J","Información Y Comunicaciones",31119.5933196768
2017,"E","Suministro Agua, G. De Residuos Y Saneamiento",33932.5543614096
2017,"H","Serv. De Transporte Y Almacenamiento",35260.0337979865
2017,"K","Int. Financiera Y Serv. De Seguros",39473.5651077487
2017,"D","Suministro De Elect., Gas, Vapor, A. A.",54398.3049475814
2017,"B","Explotacion De Minas Y Canteras",64046.393143409
2018,"I","Serv. De Alojamiento Y Serv. De Comida",18198.1132869872
2018,"P","Enseñanza",21031.5267394026
2018,"L","Serv. Inmobiliarios",21149.8966146361
2018,"N","Act. Administrativas Y Serv. De Apoyo",22117.955879806
2018,"R","Serv. Art., Cult., Dep.  Y Esparcimiento",22703.4686641012
2018,"S","Serv. De Asoc. Y Serv. Personales",23785.2788761707
2018,"F","Construcción",24299.1892521968
2018,"G","Comercio P/Mayor Y P/Menor, Rep. De Vehiculos",26188.3840943453
2018,"Q","Salud Humana Y Serv. Soc.",26527.3897889053
2018,"M","Serv. Profesionales, Científicos Y Técnicos",26984.7956425003
